Year,Date,Grant Amount,Project,Project Category,Organization/Applicant,Location/Municipality,Status,Description,Additional Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1/10/2020,"$9,000 ","to support the Carnegie Science Center Future Cities competition  ($3,000 per year for 3 years)",Education/Competition ,Carnegie Science Center future cities Competition,,,"to support the Carnegie Science Center Future Cities competition  ($3,000 per year for 3 years)","$3,000 per year / 3 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1/10/2020,"$7,500 ","Carnegie Science Center Pittsburgh Regional Science and Engineering fair support ($2,500 per year for 3 years)",Education/Competition,Carnegie Science Center Pittsburgh Regional Science and Engineering fair,,,"Carnegie Science Center Pittsburgh Regional Science and Engineering fair support ($2,500 per year for 3 years)","$2,500 per year / 3 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3/4/2020,"$592,822 ",Air Quality Program 5% operations funding allocation for the year 2020,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3/4/2020,"$384,000 ","For air monitoring work and equipment supporting the Air Quality Program (relocation and upgrades at the Liberty Monitor site, back-up monitoring hardware, low-cost monitors, etc.)",Operational Funding ,Air Quality Program,,,"For air monitoring work and equipment supporting the Air Quality Program (relocation and upgrades at the Liberty Monitor site, back-up monitoring hardware, low-cost monitors, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$500,000 ","To provide professional and technical support on an as-needed basis to the Air Quality Program for case analysis, data and technical support, legal support, and medical and toxicology consulting",Operational Funding,Air Quality Program,,,"To provide professional and technical support on an as-needed basis to the Air Quality Program for case analysis, data and technical support, legal support, and medical and toxicology consulting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$210,000 ",To update / develop software the Air Quality Program enforcement and permitting staff use,Operational Funding/Software,Air Quality Program,,,To update / develop software the Air Quality Program enforcement and permitting staff use,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$59,560 ",Tree planting,Tree planting,Plant Five for Life,,,To plant 500 trees in various locations in the Carnegie and Churchill areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$98,000 ",Tree planting,Tree planting,Tree-Vitalize,,,To plant 200 street trees in various low income areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3/3/2021,"$578,684 ",,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,5/5/2021,"$200,000 ",,Operational Funding/Public Comm,Air Quality  Program,,,"To fund an RFP that will ask community-based organizations to seek small grant to conduct outreach aimed at increasing participation / sign-ups / awareness around the County's Allegheny Alerts system; titled the ""Air Ambassadors  Program""; ACHD will be overseeing community partners",2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
